Situação Pós-Pleito;Nome Completo;Nome Urna;Cargo;Número;Partido;Situação;Coligação
Concorrendo;NAIR QUEIROZ BLAIR;NAIR;Deputado Distrital;20999;PSC;Aguardando julgamento;PSC
Concorrendo;NAJH YUSUF SALEH AHMAD;NAJH;Deputado Distrital;10222;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;VANILDA NATALIA DO NASCIMENTO;NATÁLIA MAZZOLI;Deputado Distrital;19555;PODE;Aguardando julgamento;UNIDOS PELO DF 2
Concorrendo;ERNATAN BENEVIDES OLIVEIRA JUNIOR;NATAN;Deputado Distrital;31333;PHS;Aguardando julgamento;PHS
Concorrendo;NATANAEL SAULO DA SILVA PEREIRA;NATANAEL SAULO;Deputado Distrital;18444;REDE;Aguardando julgamento;Brasília Justa e de mãos limpas
Concorrendo;NAYRA RAMOS DA SILVA;NAYRA RAMOS;Deputado Distrital;12180;PDT;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;LEILA REGINA LOPES;NEGALAIZE;Deputado Distrital;13369;PT;Aguardando julgamento;PT
Concorrendo;EMILIANO CALDEIRA DA SILVA;NEGÃO DO PARANOÁ;Deputado Distrital;54051;PPL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;WAGNER PEREIRA DE LIMA;NEGUIN;Deputado Distrital;12121;PDT;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;VALDINEIA CASTRO MIRANDA DE AMORIM;NEIA AMORIM;Deputado Distrital;40222;PSB;Aguardando julgamento;PSB
Concorrendo;NEIDE ARAUJO NEIVA;NEIDE NEIVA;Deputado Distrital;11113;PP;Aguardando julgamento;PP
Concorrendo;NÉLIO DOMINGUES;NÉLIO DOMINGUES;Deputado Distrital;30061;NOVO;Aguardando julgamento;NOVO
Concorrendo;NERLY FRANCISCA DE LIMA;NERLY LIMA;Deputado Distrital;23230;PPS;Aguardando julgamento;PPS
Concorrendo;NERY MOREIRA DA SILVA;NERY DO BRASIL;Deputado Distrital;70123;AVANTE;Deferido;AVANTE
Concorrendo;ANTONIO CUSTÓDIO NETO;"NETO NOROESTE ";Deputado Distrital;23001;PPS;Aguardando julgamento;PPS
Concorrendo;RAIMUNDO VITORINO DA SILVA FILHO;NETO TO CONTIGO;Deputado Distrital;90101;PROS;Aguardando julgamento;PROS
Concorrendo;NEUSA BARBOSA DOS SANTOS;NEUSA BARBOSA;Deputado Distrital;22002;PR;Aguardando julgamento;PR
Concorrendo;NEVITON FERREIRA;NEVITON MONOVIM;Deputado Distrital;20600;PSC;Aguardando julgamento;PSC
Concorrendo;NICANOR FERREIRA DOS SANTOS;NICANOR FERREIRA;Deputado Distrital;22552;PR;Aguardando julgamento;PR
Concorrendo;NILDO NAVES DE OLIVEIRA;NILDO NAVES;Deputado Distrital;44033;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;NILO ARTHUR ERICSEN FERREIRA;NILO ARTHUR;Deputado Distrital;23007;PPS;Aguardando julgamento;PPS
Concorrendo;NILSON DA SILVA FARIAS;NILSON DA FEMEI;Deputado Distrital;90099;PROS;Aguardando julgamento;PROS
Concorrendo;NILZA SOARES GOMES;NILZA GOMES;Deputado Distrital;33444;PMN;Aguardando julgamento;mobilizar pra mudar
Concorrendo;NOEMI ALVES BARUZZI;NOEMI BARUZZI;Deputado Distrital;45045;PSDB;Aguardando julgamento;TODOS PELO DF
Concorrendo;NUBIA LIMA DE SOUZA;NÚBIA LIMA;Deputado Distrital;44593;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;JOSE FERREIRA DE SOUSA FILHO;O FISCAL DE BRASÍLIA;Deputado Distrital;45789;PSDB;Aguardando julgamento;TODOS PELO DF
Concorrendo;ADAO FRANCISCO ITACARAMBY;O PAPAI CHEGOU;Deputado Distrital;25025;DEM;Aguardando julgamento;TODOS PELO DF
Concorrendo;OSEIAS RIBEIRO DE SOUZA;OSÉIAS RIBEIRO;Deputado Distrital;31031;PHS;Aguardando julgamento;PHS
Concorrendo;OSVALDO RODRIGUES DOS SANTOS;OSVALDO RODRIGUES;Deputado Distrital;23465;PPS;Aguardando julgamento;PPS
Concorrendo;OSVANILDO LOURENSO DA SILVA;OSVANILDO LOURENSO;Deputado Distrital;13443;PT;Aguardando julgamento;PT
Concorrendo;OZIEL LOURENCO DA PAZ;OZIEL PAZ;Deputado Distrital;19007;PODE;Aguardando julgamento;UNIDOS PELO DF 2
Concorrendo;PABLO DE SOUSA VALENTE LIMA;PABLO VALENTE;Deputado Distrital;11456;PP;Aguardando julgamento;PP
Concorrendo;RAIMUNDO RESENDE DO NASCIMENTO;PAI RESENDE;Deputado Distrital;54113;PPL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;RUMALDO RIBEIRO DE SOUZA FILHO;PALHAÇO LAMBY SAL;Deputado Distrital;33000;PMN;Aguardando julgamento;mobilizar pra mudar
Concorrendo;MARIA TRINDADE BRAGA SOARES;PASTORA MARIA TRINDADE;Deputado Distrital;20218;PSC;Aguardando julgamento;PSC
Concorrendo;ROSIMAR DE JESUS DUTRA;PASTORA ROSE;Deputado Distrital;31777;PHS;Aguardando julgamento;PHS
Concorrendo;WALDICEIA DE MORAES TEIXEIRA DA SILVA;PASTORA WALL;Deputado Distrital;13777;PT;Aguardando julgamento;PT
Concorrendo;JOSE BERNARDO DA SILVA;PASTOR BERNARDO;Deputado Distrital;54789;PPL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;DANIEL DE CASTRO SOUSA;PASTOR DANIEL DE CASTRO;Deputado Distrital;20123;PSC;Aguardando julgamento;PSC
Concorrendo;JOSE NETO FIGUEIREDO PARANAGUA;PASTOR FIGUEIREDO PARANAGUÁ;Deputado Distrital;45133;PSDB;Aguardando julgamento;TODOS PELO DF
Concorrendo;JOAO PAULO BARBOSA DE FARIAS;PASTOR JOÃO PAULO;Deputado Distrital;11321;PP;Aguardando julgamento;PP
Concorrendo;ANTONIO PEREIRA DE SOUSA;PASTOR JORGE BOMBEIRO;Deputado Distrital;22125;PR;Aguardando julgamento;PR
Concorrendo;PATRICIA CARLOS DOS SANTOS;"PATRICIA AMADA ";Deputado Distrital;30800;NOVO;Aguardando julgamento;NOVO
Concorrendo;PATRÍCIA GUIMARÃES GARCÊS;PATRÍCIA GUIMARÃES;Deputado Distrital;12333;PDT;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;SIDNEY DA SILVA PATRÍCIO;PATRÍCIO;Deputado Distrital;12190;PDT;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;PAULA FRANCINETE ALVES;PAULA;Deputado Distrital;70032;AVANTE;Deferido;AVANTE
Concorrendo;ANA PAULA AGUIAR DE SOUSA;PAULA AIK;Deputado Distrital;44179;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;ANA PAULA BENETE CROZUÉ;PAULA BENETT;Deputado Distrital;40007;PSB;Aguardando julgamento;PSB
Concorrendo;PAULO AUGUSTO CARDOSO CAVALCANTE;PAULINHO CARDOSO;Deputado Distrital;17467;PSL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;PAULO HENRIQUE DO REGO BANDEIRA;PAULINHO MADRUGADA;Deputado Distrital;44077;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;PAULO ANDRADE DA SILVA;PAULO ALEGRIA;Deputado Distrital;31110;PHS;Aguardando julgamento;PHS
Concorrendo;PAULO AUGUSTO ASSENCO DE OLIVEIRA;PAULO BODÃO;Deputado Distrital;55777;PSD;Aguardando julgamento;UNIDOS PELO DF 2
Concorrendo;PAULO ROBERTO CORREA;PAULO CORRÊA;Deputado Distrital;15888;MDB;Aguardando julgamento;MDB
Concorrendo;PAULO GONÇALVES COSTA;PAULO COSTA - PC;Deputado Distrital;18180;REDE;Aguardando julgamento;Brasília Justa e de mãos limpas
